"date","sfcity_adr","sfcity_days","sfcity_demd","sfcity_demt","sfcity_occ","sfcity_revpar","sfcity_rmrevt","sfcity_supd","sfcity_supt","sfzoneone_adr","sfzoneone_days","sfzoneone_demd","sfzoneone_demt","sfzoneone_occ","sfzoneone_revpar","sfzoneone_rmrevt","sfzoneone_supd","sfzoneone_supt","sfzonetwo_adr","sfzonetwo_days","sfzonetwo_demd","sfzonetwo_demt","sfzonetwo_occ","sfzonetwo_revpar","sfzonetwo_rmrevt","sfzonetwo_supd","sfzonetwo_supt","sfcity_strdays"
2006-07-01,154.011449212501,92,28493.5108695652,2621403,0.829964488933186,127.824033735513,403726074.999999,34331,3158452,163.687374570834,92,24139.9456521739,2220875,0.827447235626719,135.442665595632,363529198,29174,2684008,99.2757070619531,92,2884.71739130435,265394,0.848945671366789,84.2796817821225,26347177,3398,312616,92
2006-10-01,158.816973672882,92,24492.0217391304,2253266,0.714262257043196,113.436970072362,357856887,34289.9565217391,3154676,169.155005600701,92,21037.7391304347,1935472,0.719705911007289,121.741857407296,327394777,29231.0217391304,2689254,93.2170499969682,92,2330.35869565217,214393,0.685803029915295,63.9285353276864,19985083,3398,312616,92
2007-01-01,154.677533105733,90,22664.7555555555,2039828,0.666101086097559,103.03087279662,315515563,34026,3062340,165.307266241294,90,19628.9777777778,1766608,0.670846814004709,110.8958528898,292033139,29260,2633400,83.8428377294236,90,2035.9,183231,0.636616635397123,53.3757452574526,15362607,3198,287820,90
2007-04-01,159.175243673442,91,26761.8571428571,2435329,0.783425219216835,124.701900168759,387644087,34160.0659340659,3108566,169.055948963196,91,23019.8021978022,2094802,0.786732816056124,133.001862798855,354138740,29260,2662660,96.6444622758315,91,2547.26373626374,231801,0.764469787413676,73.8817715307139,22402283,3332.06593406593,303218,91
2007-07-01,167.708511769446,92,29257.3152173913,2691673,0.856238752946064,143.598526975911,451416473,34169.5760869565,3143601,177.49362418032,92,25016.3913043478,2301508,0.854330081705818,151.638142448235,408502996,29281.8804347826,2693933,110.558384820205,92,2943.27173913043,270781,0.866177674847097,95.7632046984159,29937110,3398,312616,92
2007-10-01,171.843687820631,92,25647.8804347826,2359605,0.75193448407066,129.215194742206,405483225,34109.1956521739,3138046,182.701471770301,92,22068.9565217391,2030344,0.753386697222515,137.64485839472,370946837,29293,2694956,83.7208714831628,92,2542.89130434782,233946,0.748349412698006,62.6524650049901,19586163,3398,312616,92
2008-01-01,167.607502807987,90,23603.3111111111,2124298,0.695082750361562,116.501084033009,356048283,33957.5555555556,3056180,178.124051245933,90,20603.0444444444,1854274,0.693902493787982,123.600723363171,330290797,29691.5555555556,2672240,103.312435882305,90,2447.75555555555,220298,0.720351840952193,74.4213033810738,22759523,3398,305820,90
2008-04-01,173.360942967687,91,26987.978021978,2455906,0.790346971094914,137.015296180669,425758180,34147,3107377,182.354446575905,91,23618.4945054945,2149283,0.790418476807821,144.13632390166,391931312,29881,2719171,123.946487776665,91,2697.95604395604,245514,0.793983532653338,98.4114702248899,30430598,3398,309218,91
2008-07-01,177.707435123788,92,29886.347826087,2749544,0.874326378794928,155.374298236716,488614412,34182.1413043478,3144757,185.82873345448,92,26121.1195652174,2403143,0.873144677967579,162.255369629235,446573020,29916.1413043478,2752285,118.683318572507,92,2994.60869565217,275504,0.881285666760498,104.593907541521,32697729,3398,312616,92
2008-10-01,171.448637995203,92,24310.3913043478,2236556,0.71083015509789,121.870861937452,383454480,34200,3146400,180.932634149699,92,21318.8586956522,1961335,0.712195453185413,128.859399374276,354869508,29934,2753928,79.7939795973737,92,2403.78260869565,221148,0.707411009033446,56.4471396217724,17646279,3398,312616,92
2009-01-01,145.497429157231,90,20939.9555555556,1884596,0.613040225360909,89.1957767599815,274203873,34157.5555555556,3074180,154.360853034418,90,18393.4222222222,1655408,0.614803645574133,94.9016151794933,255530191,29917.5555555556,2692580,87.4722078579948,90,2105.71111111111,189514,0.619691321692498,54.2057680988817,16577208,3398,305820,90
2009-04-01,139.57116557127,91,25708.6593406593,2339488,0.751495449887733,104.887095862337,326525067,34210,3113110,146.484856863308,91,22575.0549450549,2054330,0.75325508658842,110.340463540464,300928236,29970,2727270,100.278000070352,91,2499.20879120879,227428,0.735494052739491,73.7538726723541,22806025,3398,309218,91
2009-07-01,145.934923035595,92,29537.9347826087,2717490,0.863429838719927,126.004567060229,396576694,34210,3147320,152.592567614863,92,25932.9239130435,2385829,0.865296093194644,132.03775260768,364059773,29970,2757240,102.928822204308,92,2885.45652173913,265462,0.849163190623641,87.4033670701436,27323691,3398,312616,92
2009-10-01,154.261089090476,92,24285.5217391304,2234268,0.713704159431456,110.096780922299,344660615,34027.4347826087,3130524,161.328227000657,92,21639.0869565217,1990796,0.720102727338494,116.172896259857,321171589,30050,2764600,69.8911321544166,92,2260.11956521739,207931,0.665132302889168,46.4868496813983,14532533,3398,312616,92
2010-01-01,138.330721688285,90,22673.3777777778,2040604,0.668989734374943,92.5418327581397,282278224,33891.9666666667,3050277,145.036711518677,90,20314.5444444444,1828309,0.676070519839205,98.0550449522005,265171925,30047.9666666667,2704317,85.7628253026195,90,2081.82222222222,187364,0.612661042443267,52.5435419527827,16068866,3398,305820,90
2010-04-01,142.894950839698,91,26843.1098901099,2442723,0.792605511552975,113.259325608636,349052783,33866.9230769231,3081890,148.673627052093,91,24046.0769230769,2188193,0.800308757341307,118.984805715485,325326590,30046,2734186,106.01652569826,91,2476.32967032967,225346,0.72876093888454,77.2607028051407,23890400,3398,309218,91
2010-07-01,158.154238988169,92,29855.4891304348,2746705,0.882776142236392,139.614788972309,434403039,33820,3111440,164.417441069671,92,26563.2391304348,2443818,0.884085706264887,145.359109510345,401806302,30046,2764232,106.231919447489,92,2955.67391304348,271922,0.869827520024567,92.4034470404586,28886796,3398,312616,92
2010-10-01,158.292430481829,92,25093.9239130435,2308641,0.74299866696447,117.611064838565,365440395,33773.847826087,3107194,165.474853372292,92,22439.2608695652,2064412,0.747954224482061,123.767615625356,341608273,30000.847826087,2760078,79.2749753400776,92,2369.18478260869,217965,0.697434437035235,55.2890977972892,17279170,3397,312524,92
2011-01-01,159.804220652578,90,24155.8222222222,2174024,0.717421298201417,114.646951438638,347418211,33670.3444444444,3030331,167.666302642263,90,21661.1444444444,1949503,0.724154018909324,121.416226894062,326865960,29912.3444444444,2692111,98.4168457665724,90,2248.9,202401,0.662025316455696,65.1544434631865,19919668,3397,305730,90
2011-04-01,165.482410167784,91,27748.9230769231,2525152,0.824321134876609,136.410648151624,417868239,33662.7582417582,3063311,172.043127213516,91,24754.2637362637,2252638,0.827770067095793,142.412150956902,387550886,29904.7582417582,2721333,130.052903719627,91,2699.07692307692,245616,0.794547224926972,103.333173744125,31943074,3397,309127,91
2011-07-01,182.2563009701,92,30419.3152173913,2798577,0.901548810832334,164.312951406294,510058292,33741.1739130435,3104188,188.205273237931,92,27009.2282608696,2484849,0.900963091988664,169.566004905018,467661685,29978.1739130435,2757992,135.603565963628,92,3082.89130434783,283626,0.906199677938808,122.883907803594,38460697,3402,312984,92
2011-10-01,184.087625656572,92,25575.4456521739,2352941,0.757043204023594,139.362285948147,433147322,33783.3369565217,3108067,191.553400525637,92,22796.3478260869,2097264,0.759363489460586,145.458658641189,401738051,30020.3369565217,2761871,149.455870155005,92,2516.04347826087,231476,0.739577741993201,110.534234976868,34595447,3402,312984,92
2012-01-01,178.258304371618,90,24527.9111111111,2207512,0.726021522351146,129.419365511616,393507346,33784,3040560,197.614493966199,90,18512.3777777778,1666114,0.728145759037829,143.892155705895,329248275,25424,2288160,123.255426869181,90,5822.36666666666,524012.999999999,0.724535423925666,89.3029229578007,64587445.9999998,8036,723240,90
2012-04-01,183.232890246232,91,28418.6593406593,2586098,0.841699452427882,154.227023387032,473858211,33763.4285714286,3072472,199.526158829546,91,21467.7582417582,1953566,0.844356273028839,168.471163841075,389787520,25425,2313675,150.82600848755,91,6740.31868131867,613368.999999999,0.83640580959147,126.151749736479,92511997.9999998,8058.67032967033,733339,91
2012-07-01,204.651582599482,92,30282.4565217391,2785986,0.897426473312058,183.659748029984,570156444,33743.6630434783,3104417,219.531236190266,92,22825.7391304348,2099968,0.897708798492509,197.075122271939,461008571,25426.6630434783,2339253,166.331031867378,92,7222.86956521738,664503.999999999,0.896248860307406,149.073997744892,110527636,8059,741428,92
2012-10-01,193.973605733952,92,26396.5434782609,2428482,0.786468305270494,152.554092968788,471061410,33563.3913043478,3087832,210.756457460527,92,20045.0652173913,1844146,0.791731780448348,166.862585306209,388665678,25318,2329256,86.6438628228457,92,6200.80434782607,570473.999999998,0.76942602653258,66.6660430952161,49428070.9999999,8059,741428,92
2013-01-01,183.613247258211,90,25152.8777777778,2263759,0.748455979887402,137.426432896952,415656141,33606.3555555556,3024572,192.050115746588,90,22434.0666666667,2019066,0.750645779642289,144.161608864989,387761859,29886.3555555556,2689772,132.662127130682,90,2503.11111111111,225280,0.730835360908353,96.9541735604217,29886124,3425,308250,90
2013-04-01,203.97687884793,91,29705.9230769231,2703239,0.885215425946471,180.563479692602,551398254,33557.8461538462,3053764,211.460427913139,91,26475.5384615385,2409274,0.887313994617058,187.63179699504,509466111,29837.8461538462,2715244,154.748573997377,91,2982.28571428571,271388,0.870740354535975,134.745828186412,41996906,3425,311675,91
2013-07-01,229.264262666362,92,30600.5652173913,2815252,0.912859400134825,209.286037289968,645436674,33521.6630434783,3083993,236.311520752777,92,27233.652173913,2505496,0.913952618840477,215.977533254176,592077570,29797.6630434783,2741385,174.243576195675,92,3096.07608695652,284839,0.90290932836294,157.326150354394,49631366,3429,315468,92
2013-10-01,215.59578572642,92,27321.2282608696,2513553,0.814975453982174,175.705273349033,541911434,33523.9891304348,3084207,223.553340541003,92,24400.3369565217,2244831,0.818876431545713,183.06256176234,501839469,29797.3369565217,2741355,120.426268753286,92,2687.93478260869,247290,0.783277163997567,94.3271462598824,29780212,3431.65217391304,315712,92
2014-01-01,207.748365370549,90,26052.4555555556,2344721,0.774522670449121,160.905818728238,487111955,33636.7888888889,3027311,217.592503067084,90,23149.0222222222,2083412,0.776766197107481,169.018501126517,453334832,29801.7888888889,2682161,142.398932641733,90,2596.23333333333,233661,0.756257889115447,107.69031621193,33273077,3433,308970,90
2014-04-01,224.427762506953,91,29711.8241758242,2703776,0.880362671744366,197.577824614231,606802398,33749.5274725275,3071207,232.961492191136,91,26371.1318681319,2399773,0.881549337269334,205.367049050371,559054699,29914.5274725275,2722222,173.464350152315,91,2990.47252747253,272133,0.871095988194736,151.104099512489,47205374,3433,312403,91
2014-07-01,253.489771963245,92,31040,2855680,0.918091647130385,232.726842272441,723885672,33809.2608695652,3110452,261.239948989548,92,27573.2065217391,2536735,0.919916477218538,240.318933583215,662696522,29973.597826087,2757571,195.37465288572,92,3111.83695652174,286289,0.906184320478084,177.045447063888,55933614,3434,315928,92
2014-10-01,235.451245695183,92,27910.4673913043,2567763,0.825379217681718,194.336564974076,604582997,33815.3260869565,3111010,244.237319940732,92,24861.2282608696,2287233,0.829279090155607,202.540902462494,558627658,29979.3260869565,2758098,162.749243387868,92,2725.96739130435,250789,0.793816945633182,129.193107290269,40815720,3434,315928,92
2015-01-01,231.90646532495,90,26400.6666666667,2376060,0.786085577943578,182.298327823815,551023676,33584.9777777778,3022648,242.208926144922,90,23524.9,2117241,0.788174851410401,190.902984374546,512814669,29847.3111111111,2686258,146.98358769329,90,2645.71111111111,238114,0.770445868116223,113.242897819194,34998850,3434,309060,90
2015-04-01,240.849878339968,91,29486.7802197802,2683297,0.880036115859362,211.956591439505,646271756,33506.3296703297,3049076,248.995504015509,91,26336.0769230769,2396583,0.882985696237649,219.859468473178,596738392,29826.1648351648,2714181,172.910484372351,91,2916.42857142857,265395,0.85697540750691,148.180032807212,45889578,3403.16483516484,309688,91
2015-07-01,267.372360879493,92,30432.0543478261,2799749,0.905783883883625,242.181575480561,748575500,33597.4782608696,3090968,274.596555275825,92,27079.2173913043,2491288,0.908242063917392,249.400142108322,684099103,29814.9782608696,2742978,206.634354025323,92,2995.97826086957,275630,0.898075018246273,185.573151261599,56954626.9999999,3336,306912,92
2015-10-01,241.097166875964,92,27576.7173913043,2537058,0.819217624691307,197.511048367931,611677496,33662.2608695652,3096928,241.940319988545,92,26418.0652173913,2430462,0.817130936311203,197.696920203672,588026754,32330.2717391304,2974385,171.370494565675,92,2580.21739130435,237380,0.773446460223126,132.545902408508,40679928,3336,306912,NA
